Customer_ID,Name,Age,Gender,City,Employment_Type,Monthly_Income,Loan_Amount,Interest_Rate,Tenure_Months,Credit_Score,Vehicle_Type,Down_Payment,EMI,Previous_Default,Loan_Status
C1163,Eva Amble,30.0,F,Bhopal,Salaried ,23891,331950,10.1,36,683.0,suv,62076,8253,no,Default
C1591,Purab Srivastava,29.0,M,Vadodara,Business ,31885,127086,14.7,48,697.0,Bike,30543,2306,no,No Default
C0947,Arhaan Joshi,29.0,M,Vadodara,Government,32273,322923,8.0,24,617.0,CAR,76407,11093,Yes,Default
C0952, Yashvi Warrior ,47.0,F,Lucknow, salarieD,54259,288468,14.5,48,633.0,BikE,35676,6030,No,No Default
C2399,Anay Gokhale,19.0,M,Gurugram,Goverment,70727,353342,10.8,72,641.0,BikE,50701,4657,1,Default
C2207,Anaya  Gandhi,26.0,M,Patna,SALARIED,38251,406846,8.0,18,558.0,S  U  V,24847,22919,No,Default
C1140,Miraya  Sarkar,22.0,M,Chennai,Self Employed,32532,304647,16.6,36,727.0,c ar,34814,8739,0,Default
C3100,Baiju Karan,40.0,F,Lucknow,Salaried,42797,202033,8.0,24,696.0,BIKE,49965,6843,no,Default
C1993,Kiara Bail,28.0,F,Noida,Student,28162,160793,11.2,30,723.0,Bike,31610,4788,0,Default
C2722,Divij Sawhney,36.0,M,Nagpur,Business,12005,60000,14.1,18,661.0,BikE,14822,2863,0,No Default
C2243,Saksham Barad,33.0,M,Vadodara,SALARIED,63168,688854,11.8,24,750.0,c  ar,178236,23786,0,no default
C1718,Anya Rattan,,M,Bengaluru,Self employed,89366,427698,,12,571.0,BikE,46340,36991,N,No Default
C2940,Hiran Dhawan,28.0,M,Gurugram,salaried,43062,272990,13.9,30,570.0,c ar,53519,8332,NO,Default
C1072,Pranay  Mander,36.0,F,Delhi,SALARIED,34472,327557,11.8,72,643.0,Car,60786,4142,N,Default
C3093,Ehsaan Jain,40.0,F,Noida,Student ,83539,459416,15.6,12,634.0,BIKE,39480,40453,no,No Default
C0724,Badal Chauhan,24.0,M,Nagpur, salarieD,49208,307807,14.6,60,655.0,CAR,35583,5199,No,No Default
C2381, Samaira Shere ,29.0,F,Patna,Salaried ,16330,143147,,30,661.0,SUV,10133,5001,No,No Default
C0798, Hiran Sani ,18.0,M,Nashik,salaried,16493,107844,14.2,12,707.0,Car,11988,9122,No,Default
C1981,Aarna Suresh,36.0,F,Chennai,salaried,43506,472573,13.1,48,789.0,car,138772,7865,NO,Default
C1653,Seher Doctor,18.0,F,Nagpur,Self-employed,88131,647560,10.8,36,695.0,car,49194,18416,no,No Default
C1111,Badal Bawa,42.0,F,Jaipur,,27723,383635,11.9,18,537.0,suv,59570,20146,0,Default
C1376,Vritika Bhavsar,38.0,F, Lucknow ,,86633,936031,9.5,18,732.0,c ar,207790,44301,N,No Default
C0573,Riya Kaur,23.0,F,Indore,SALARIED,38776,432959,15.1,48,590.0,car,50942,9160,NO,Default
C1677,Piya  Kar,31.0,F,Pune, salarieD,88951,961650,9.2,36,701.0,SUV,269166,21005,No,No Default
C1791,Devansh Keer,35.0,M,Pune,BUSINESS,40118,503534,11.9,24,590.0,CAR,57766,20783,Yes,Default
C1430,Jivika Bajaj,35.0,M,Patna,salaried,30903,154053,,48,673.0,Bike,25777,2963,N,Default
C1602,hrishita  dhar,35.0,M,HYDERABAD,Self-employed,43974,445706,13.6,30,625.0,suv,70541,14206,NO,Default
C3012,Vihaan Dewan,22.0,Other,Vadodara,,30225,148281,10.7,12,738.0,BikE,14460,12344,N,Default
C1678,Hridaan Bajwa,,M, Coimbatore ,SALARIED,36337,512839,11.3,72,655.0,suv,151213,5590,Y,Default
C2508,Mehul  Ravi,32.0,F,Chennai, salarieD,33920,195335,13.6,60,699.0,BIKE,10234,3504,No,Default
C2082,Aaryahi Chowdhury,18.0,F,Hyderabad,Self employed,31392,192072,8.0,60,689.0,Car,9666,3283,1,DEFAULT
C2384,Dhanush Agate,18.0,M,Coimbatore,Salaried ,49329,663408,8.0,18,653.0,SUV,166174,29834,yes,Default
C1264,Madhup Mangat,18.0,M,Bengaluru,salaried,29579,273207,14.2,12,648.0,Car,77130,18659,yes,Default
C0732,Mamooty Suri,39.0,M,Lucknow,Salaried,51025,264425,,12,616.0,Bike,26561,22022,NO,Default
C0402,Ivan Jhaveri,29.0,F,Chennai,BUSINESS,43680,204558,10.2,72,693.0,Bike,25001,2748,0,Default
C1005,Saira Raja,47.0,M,Bengaluru,Salaried,53660,448021,11.2,60,775.0,CAR,76632,6883,NO,No Default
C2040,Hansh Samra,31.0,F,Chennai,Salaried,79916,772456,15.4,72,665.0,car,67814,11293,Yes,DEFAULT
C0857,Nayantara Mall,28.0,F,Delhi,Self Employed,51387,266235,14.6,72,628.0,BikE,28865,3778,yes,Default
C2204,Romil Amble,30.0,M,Coimbatore, salarieD,58517,687000,13.7,24,724.0,Car,169856,24499,Y,Default
C2335,Vidur Jhaveri,24.0,M,Visakhapatnam,self employed,44502,390252,14.9,72,674.0,Car,26937,5797,0, Default 
C2127,Siya  Borra,27.0,M,Lucknow,Salaried,30941,324336,14.5,12,662.0,Car,43978,26750,1,Default
C2120,Shayak Bir,31.0,M,Noida,Salaried ,32624,348733,8.0,12,628.0,car,27825,28881,no,Default
C1422,Abram Butala,32.0,F,Mumbai,Self Employed,118898,740074,15.3,18,724.0,Car,114109,40096,no,Default
C2501,rania dhaliwal,25.0,M,SURAT,Self-employed,29208,198118,9.1,36,717.0,CAR,23656,5287,N,Default
C2829,Adira Behl,26.0,F,Jaipur,self employed,73558,1026828,11.9,18,578.0, S U V ,227965,49662,no,No Default
C1783, Drishya Kara ,23.0,F,Kolkata,Business ,20382,145921,13.4,24,600.0,car,40750,4969,Y,Default
C1595,Yashvi Sarkar,29.0,M,Hyderabad,Business,48725,493861,8.0,60,725.0,truck,142180,6330,no,No Default
C1740,Sahil Lall,36.0,M,Ahmedabad,Salaried ,35987,116051,13.2,48,593.0,bike,30606,2015,N,Default
C0339,Faiyaz Apte,45.0,F,Thane,STUDENT,40211,236379,8.0,12,621.0,BikE,46223,17114,no,Default
C0354,Vidur Bansal,43.0,M,Chennai,Salaried,43971,222517,8.8,24,,BIKE,22430,9070,0,No Default
C0814,Azad Sundaram,31.0,Other,Ahmedabad,SALARIED,29841,414278,9.5,72,707.0,S U V,30823,5831,NO,No Default
C1624,Miraya Devan,39.0,F,Hyderabad,bussiness,83665,721990,13.0,18,617.0,car,190346,33375,NO,No Default
C3002,Samaira Mane,18.0,M,Hyderabad,BUSINESS,60450,508256,11.2,60,543.0,CAR,68238,8155,NO,Default
C3049,Sumer Jayaraman,18.0,F,Indore,SALARIED,57051,206142,10.9,48,767.0,Bike,36375,3922,no,Default
C0975, Kartik Jha ,26.0,M,Gurugram,Self-employed,66749,379489,10.6,60,596.0,BIKE,63136,5831,NO,Default
C1173,Chirag Mannan,35.0,F,Coimbatore,Salaried ,13505,63049,8.6,72,779.0,BIKE,7860,2000,1,Default
C1292,Seher Virk,21.0,M,Nashik, salarieD,75661,850634,9.0,24,789.0,suv,84717,34785,N,No Default
C2787,Neelofar Kadakia,28.0,M,Kolkata, salarieD,63884,751776,,48,583.0,suv,110477,14977,YES,Default
C1395, Misha Sharaf ,25.0,F,Hyderabad,self employed,33139,337808,15.1,18,612.0,Car,63744,17524,no,Default
C2703,Anahita Koshy,52.0,F,Delhi,Business ,59807,775252,14.7,36,702.0, car ,117681,20950,no,No Default
C0029,Shanaya Sarin,35.0,M,Indore,Salaried,63974,535667,14.9,12,609.0,Car,146921,37222,NO,No Default
C2290,Rati Acharya,35.0,F,Patna,Self Employed,46489,391098,13.3,60,524.0,Car,57051,6307,N,Default
C2649,Kaira Sampath,38.0,M,Visakhapatnam,Salaried ,38272,187347,13.2,12,660.0,bike,21060,15686,No,No Default
C0624,Lavanya Madan,33.0,F,Bengaluru,Salaried ,26560,170894,12.3,18,618.0,car,32726,8620,N,No Default
C1232,Neelofar Chandran,28.0,F,Lucknow,salaried,24818,359168,10.5,24,778.0,Suv,37240,14822,NO,Default
C0404,Saksham Bahl,18.0,M,Surat, salarieD,70813,407629,12.9,60,559.0,BIKE,56923,6599,N,Default
C1851,Tiya Sandhu,35.0,M,Bhopal, salarieD,34891,219993,15.3,18,724.0,BIKE,52906,10702,NO,Default
C0704,Jayant Koshy,45.0,M,Mumbai,Salaried ,61955,720888,11.3,12,746.0,Car,45283,62662,no,No Default
C1194,Aniruddh Yogi,21.0,M,Delhi,SALARIED,89831,570323,12.5,60,664.0,BikE,157050,7748,0,Default
C0563,Anahita Dhillon,33.0,M,Patna,Salaried ,37393,113658,10.5,48,740.0,BikE,6826,2459,no,No Default
C0639,Anvi Sarraf,22.0,M,Pune,Salaried ,44280,173341,16.0,72,566.0,BikE,30928,2294,NO,No Default
C1095,Zaina Sodhi,35.0,F,Gurugram,,32574,403993,13.4,24,592.0,c ar,28148,17758,NO,No Default
C2077,Tiya Atwal,43.0,M,Gurugram,govt ,43705,804445,8.8,24,817.0,Truck,196053,27580,N,Default
C3017,Veer Soni,35.0,F,Coimbatore,Salaried ,46959,231579,8.0,24,675.0,bike,26439,9231,N,Default
C2795,Aarav Shroff,30.0,F,Indore,salaried,57789,434573,8.0,48,621.0,CAR,98491,7561,1,No Default
C1156,Hansh Sodhi,20.0,M,Kochi, salarieD,67521,258337,11.0,72,628.0,bike,73375,2851,0,No Default
C0858,Kanav Devan,,F,Coimbatore,salaried,60803,668566,12.6,48,741.0,Car,54673,14400,No,Default
C1693,Rohan Bajwa,45.0,M,Chennai,Self  Employed,19488,233552,11.9,72,699.0,CAR,15206,3393,no,Default
C2237,Hunar Ranganathan,29.0,M,Pune,,43342,447105,10.8,60,620.0,Suv,120449,6032,1,No Default
C1455,Gatik Dani,,M,Mumbai, salarieD,29392,363174,,36,657.0,CAR,46257,9912,No,Default
C1417,Vivaan Singhal,31.0,Other,Nagpur,Self Employed,82991,1022977,13.5,18,495.0,CAR,173172,53584,No,Default
C2972,Vivaan Bhatti,49.0,M,Kochi,Self Employed,57792,750010,12.4,24,650.0,Car,63067,32171,N,Default
C0943,Sahil Som,35.0,F,Hyderabad,Self-employed,114132,1434724,13.5,60,651.0,suv,282414,21797,Yes,Default
C1983,Adira Sood,26.0,M,Surat, salarieD,69820,832761,13.6,72,629.0,SUV,64643,12119,No,Default
C2225,Seher Singhal,39.0,F,Ahmedabad,Salaried,47570,589507,11.0,18,660.0,TRUCK,116309,29180,NO,default
C1826,Mishti Kari,24.0,F,Kolkata,Self Employed,27381,265468,12.8,24,652.0,CAR,18939,11586,no,Default
C1363,Yasmin Sampath,34.0,F,Vadodara, salarieD,88184,893201,10.6,60,606.0,c ar,80811,14975,no,Default
C0262,Kashvi Dhawan,31.0,M,Mumbai,bussiness,51101,576689,14.7,12,660.0,c ar,133862,42326,0,No Default
C0668,Urvi Zachariah,36.0,M,Ahmedabad,Self employed,45805,393187,9.0,48,582.0,car,70827,7320,Yes,Default
C0219,Umang Anne,27.0,F,Thane,salaried,51964,518142,15.1,18,664.0,car,97180,26918,N,No Default
C2675,Hridaan Swaminathan,39.0,F,Coimbatore,self employed,47809,483107,,60,713.0,Suv,98836,7025,No,No Default
C0265,Vivaan Sangha,35.0,M,Chennai,Salaried,96801,980829,8.0,72,675.0,CAR,187588,11898,NO,Default
C0524,Ranbir Borah,33.0,M,Coimbatore,govt ,80624,921266,10.5,60,585.0,c  ar,52996,15990,1,Default
C1594,Chirag Lalla,22.0,M,Bhopal,BUSINESS,60096,542664,12.5,60,573.0,c ar,42877,9371,yes,DEFAULT
C0430,Badal  Shere,29.0,M,Visakhapatnam,Government,50591,482332,10.9,18,553.0,suv,142332,20947,N,Default
C1627,Ryan Kalla,32.0,M,Nashik, salarieD,83635,765625,12.7,60,479.0,car,219169,10264,0,Default
C1690,Yuvaan Ahluwalia,40.0,M,Pune,UNEMPLOYED,32366,313976,11.7,12,722.0,car,83973,21409,0,Default
C3084,Dhruv Goswami,48.0,M,Delhi,Salaried ,87832,706505,9.3,48,529.0,CAR,159404,12457,YES,Default
C1182,Kanav Jaggi,25.0,F,Bengaluru,salaried,50794,360348,8.0,30,583.0,c ar,85001,9912,0,No Default
C2579,Nitara Sodhi,25.0,F,Hyderabad,Self  Employed,27651,281656,14.4,72,718.0,c ar,49355,3691,YES, Default 
C0116,Indrajit Viswanathan,24.0,M,Nashik,Self-employed,42523,274143,17.6,24,706.0,Bike,41053,11421,0,Default
C2685,Mohanlal Venkatesh,18.0,F,Bhopal,Self employed,71909,662805,10.0,12,576.0,c ar,37930,57280,No,Default
C2213,Mannat Mandal,44.0,M,Coimbatore,Salaried,41682,409729,13.7,12,654.0, SUV ,106212,28758,N,No Default
C2193,Dhanush Baral,,M,Noida,Salaried,33123,380497,14.5,12,751.0,Car,71593,29474,N, No Default 
C0919,Ira Sarraf,26.0,F,Kolkata, salarieD,46399,581761,13.6,18,753.0,car,148915,27317,0,No Default
C2862,Shanaya Vora,,F,Nashik,salaried,50361,205434,12.6,48,758.0,Bike,25706,4216,no,No Default
C2248,Baiju Bhavsar,34.0,F,Noida,Salaried ,23607,152397,12.0,12,705.0,Bike,34151,11036,0,Default
C2592,Jayan Dugar,44.0,F,Ahmedabad,Salaried,21767,99793,11.2,30,770.0,BikE,8828,3371,NO,No  Default
C3077,Urvi Chacko,18.0,M,Bengaluru,Salaried ,42261,558590,14.3,24,722.0,suv,57245,23876,NO,No Default
C1713,Tanya Sahota,18.0,M,Gurugram,Salaried,63155,461962,11.6,60,619.0,S U V,40880,7832,YES,No Default
C1293,Khushi Sha,33.0,M,Surat,Salaried,57995,645915,8.1,12,593.0,car,98044,49354,1,No Default
C0352,Taran Sengupta,35.0,M,Jaipur,Salaried,55541,810929,11.2,36,689.0,Truk,201558,18822,N,Default
C1050,Mehul Sarkar,39.0,M,Mumbai,Self employed,35209,165425,8.0,18,699.0,BikE,15790,8978,no,No Default
C2030,Ishita Wadhwa,40.0,M,Jaipur,studnt,63272,808811,10.4,18,724.0,Car,48552,46629,0,Default
C1492,Yasmin  Arya,34.0,F,Coimbatore,Salaried ,41662,184747,12.0,30,688.0,BIKE,34817,5597,0,Default
C0769,Suhana Mangat,39.0,M,Mumbai,self employed,39463,251899,8.0,18,628.0,BikE,45725,12370,NO,Default
C1701,Jivika Seshadri,41.0,F,Indore, salarieD,40218,147308,11.1,18,672.0,Bike,35509,6900,No,Default
C2366,Arnav Grover,37.0,M,Bhopal,studnt,62375,780986,14.2,30,711.0,suv,168399,23319,NO,No Default
C0263,Shaan Bava,38.0,F,Chennai,Salaried ,76304,276296,12.7,24,672.0,Bike,78563,9285,0,Default
C1381,Faiyaz Saxena,34.0,Other,Patna,Self Employed,45254,198976,8.6,72,762.0,BikE,29487,2556,NO,No Default
C1669,Shayak Bera,38.0,M,Chennai,self employed,38757,471488,12.8,36,778.0,c ar,37719,13591,0,Default
C0540,Ivana Sur,38.0,M,Ahmedabad,Salaried,24672,95850,8.0,12,742.0,Bike,24526,6419,NO,No Default
C2762,Divit Contractor,,M,Mumbai,Salaried ,80814,754408,11.9,18,666.0,CAR,198437,34562,yes,Default
C0637,Dhanush Bhakta,51.0,F,Hyderabad,SALARIED,92218,344468,14.7,36,626.0,BIKE,65784,8879,0,No Default
C1358,Trisha Mangal,23.0,F,Kolkata,Salaried ,65023,801333,,72,726.0,CAR,228129,8988,N,No Default
C0963,Manikya Venkataraman,30.0,M,Hyderabad,salaried,16711,159121,14.5,60,606.0,c  ar,42753,2220,0,no default
C2203,Rati Kaur,46.0,M,Coimbatore,Salaried ,69580,256902,10.7,18,735.0,BikE,50522,12692,NO,No Default
C2761,Akarsh Issac,,M,Noida,salaried,41953,507052,13.0,36,,c ar,34933,14819,YES,No Default
C1903,Seher Chand,42.0,M,Mumbai,salaried,48749,576112,12.8,72,547.0,car,40791,8386,N,No Default
C2074, Arhaan Halder ,54.0,F,Kolkata, salarieD,53112,705299,12.1,48,,S U V,191170,12007,no,Default
C0172, Pari Sabharwal ,19.0,M,Mumbai,salaried,16729,60000,13.4,24,739.0,BikE,6311,2536,0,No Default
C0923,Badal Deep,18.0,F,Nashik,salaried,64990,576832,11.3,24,604.0,Car,32567,25240,YES,No Default
C1825,Samiha Sehgal,27.0,M,Patna,SALARIED,46791,168194,9.8,18,600.0,BIKE,36726,8019,no,Default
C0270,Lavanya Bakshi,39.0,F,Nashik,,38049,246830,10.2,12,523.0,BIKE,56898,17442,yes,Default
C0411,Pihu Sarna,39.0,M,Pune,Salaried ,76960,271713,12.2,30,743.0,BIKE,32773,8936,N,Default
C1530,Jayant Wason,32.0,F,Pune,Self Employed,75945,458722,10.5,60,642.0,BikE,121023,6219,no,Default
C1317,Aayush Chaudhary,28.0,M,Hyderabad,Business ,28462,111771,14.9,48,603.0,Bike,15867,2295,No,DEFAULT
C0350,Bhavin Chhabra,18.0,M,Kochi,salaried,39565,512641,12.6,18,732.0,c  ar,98603,25900,YES,No Default
C2509, Ayesha Suri ,32.0,M,Thane,Self  Employed,49919,645591,,12,553.0,Car,89402,51725,No,Default
C0013,Chirag Yadav,36.0,M,Mumbai, salarieD,33661,190613,15.3,12,693.0,BIKE,33061,15138,Y,Default
C1894,Samaira Chadha,44.0,M,Ahmedabad, salarieD,32633,173027,14.0,18,844.0,Bike,45135,8099,N,No Default
C1420,Onkar Sachar,41.0,F,Nagpur,Self-employed,45179,567195,13.1,72,750.0,c ar,71427,7787,no,Default
C0218,Neysa Kant,24.0,M,Visakhapatnam,SALARIED,40673,354735,9.9,48,708.0,S U V,64310,6649,N,No Default
C1239,Shamik Sahota,25.0,M,Nagpur,Self-employed,30141,149102,13.3,24,661.0,bike,12165,6464,N,Default
C2095,Shanaya Hora,40.0,F,Thane,SALARIED,59187,542610,10.9,36,670.0,Car,36533,15589,0,No Default
C0881,Krish Rao,35.0,M,Visakhapatnam,SALARIED,59910,476854,9.8,36,551.0,suv,29949,13630,1,No Default
C3120,Mamooty Master,36.0,F,Chennai,Salaried,28813,352411,13.0,18,638.0,CAR,41986,19487,No,Default
C1008,Saanvi Dhaliwal,31.0,F,Thane,SALARIED,69637,384477,11.6,60,723.0,BIKE,37609,6451,0,No Default
C0580,Fateh Chaudry,23.0,F,Nashik,govt ,63277,656645,10.2,18,719.0,c ar,42672,37588,Yes,No Default
C0571,Aarav Rau,21.0,F,Bhopal,Govt,63807,389305,11.3,18,712.0, BikE ,41849,21484,N,No Default
C0894,Aaryahi Walla,32.0,M,Coimbatore,Salaried ,56432,197497,13.2,12,661.0,BikE,25660,16209,0,Default
C2445,Divit Cheema,46.0,F,Lucknow,Salaried ,24927,88833,13.7,48,720.0,Bike,19360,2000,no,Default
C2739,Riya Golla,34.0,M,Lucknow,Student,47790,305527,12.9,12,792.0,bike,35844,25372,N,Default
C0016,Riya Viswanathan,25.0,M, Chennai ,Salaried,35904,449083,13.1,36,751.0,car,120293,10329,NO,No  Default
C3105,Samarth  Din,31.0,M,Delhi,Salaried ,46750,356608,12.0,12,709.0,CAR,53300,28308,NO,No Default
C2610,Dhanuk De,,F,Ahmedabad,Salaried ,116408,496634,15.7,18,729.0,Bike,140836,22869,N, Default 
C2505,Pihu Bhavsar,53.0,M,Vadodara,Business ,35857,428174,,30,631.0,CAR,46553,14425,No,Default
C0820,Uthkarsh Chokshi,32.0,M,Lucknow,Self employed,43852,414453,12.5,18,720.0,Suv,95433,19938,no,Default
C2317,Vedika  Aggarwal,34.0,M,Jaipur,SALARIED,72563,815503,12.4,30,696.0,Suv,63517,28174,NO,Default
C1082,fateh  kohli,18.0,F,THANE,bussiness,34551,375973,10.4,30,634.0,Suv,83573,10760,NO,Default
C2959,aaryahi bera,25.0,M,CHENNAI,salaried,23375,119090,16.1,48,746.0,BIKE,16428,2483,No,No Default
C2817,Ojas Raval,,F,Bhopal,salaried,37540,232563,10.5,30,802.0,BIKE,44957,6910,N,No Default
C0305,Yuvraj  Mannan,18.0,M,Indore,salaried,34231,323807,10.9,30,739.0,CAR,30256,10851,No,No Default
C0718,seher viswanathan,38.0,M,SURAT,Student,28059,290793,11.5,60,845.0,car,52972,4419,no,No Default
